player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3189,Étienne Didot,,8,"{'id': 78, 'name': 'France'}",130,Toulouse
3190,Gaëtan Laborde,,24,"{'id': 78, 'name': 'France'}",134,Rennes
3191,Ramy Bensebaini,,15,"{'id': 4, 'name': 'Algeria'}",139,Montpellier
3193,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,10,"{'id': 183, 'name': 'Portugal'}",780,Portugal
3195,Mehdi Zeffane,,2,"{'id': 4, 'name': 'Algeria'}",134,Rennes
3196,Wahbi Khazri,,22,"{'id': 232, 'name': 'Tunisia'}",41,Sunderland
3197,Dante Bonfim da Costa Santos,Dante,4,"{'id': 31, 'name': 'Brazil'}",169,Bayern Munich
3198,Moussa Niakhate,Moussa Niakhaté,19,"{'id': 202, 'name': 'Senegal'}",787,Senegal
3199,Pierre Lees Melou,,20,"{'id': 78, 'name': 'France'}",153,Stade Brestois
3200,Renaud Cohade,,10,"{'id': 78, 'name': 'France'}",135,Saint-Étienne
3202,Gabriel Fernando de Jesus,Gabriel Jesus,18,"{'id': 31, 'name': 'Brazil'}",781,Brazil
3203,Yoann Andreu,,21,"{'id': 78, 'name': 'France'}",145,Angers
3204,Almamy Touré,,38,"{'id': 140, 'name': 'Mali'}",129,AS Monaco
3205,Kyle Walker,,2,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3207,Pablo Jean Antoine Martínez,,21,"{'id': 78, 'name': 'France'}",160,Gazélec Ajaccio
3208,Bingourou Kamara,,90,"{'id': 202, 'name': 'Senegal'}",139,Montpellier
3209,Malang Sarr,,23,"{'id': 78, 'name': 'France'}",129,AS Monaco
3210,Valère Germain,,9,"{'id': 78, 'name': 'France'}",139,Montpellier
3211,Florent Balmont,,4,"{'id': 78, 'name': 'France'}",143,Lille
3213,Jimmy Briand,,23,"{'id': 78, 'name': 'France'}",142,Guingamp
3215,Dimitri Liénard,,11,"{'id': 78, 'name': 'France'}",138,Strasbourg
3216,Nuno Miguel da Costa Jóia,Nuno Da Costa,9,"{'id': 41, 'name': 'Cape Verde'}",167,Auxerre
3217,Jemerson de Jesus Nascimento,Jemerson,5,"{'id': 31, 'name': 'Brazil'}",129,AS Monaco
3218,Marcos Paulo Mesquita Lopes,Rony Lopes,7,"{'id': 183, 'name': 'Portugal'}",213,Sevilla
3220,Franck Tabanou,,14,"{'id': 78, 'name': 'France'}",26,Swansea City
3221,Markus Suttner,,29,"{'id': 15, 'name': 'Austria'}",189,Ingolstadt
3222,Jérémy Gelin,,34,"{'id': 78, 'name': 'France'}",134,Rennes
3224,Arnaud Souquet,,2,"{'id': 78, 'name': 'France'}",139,Montpellier
3226,Bassem Srarfi,,19,"{'id': 232, 'name': 'Tunisia'}",777,Tunisia
3229,Maxime Le Marchand,,23,"{'id': 78, 'name': 'France'}",138,Strasbourg
3230,Alassane Pléa,,14,"{'id': 78, 'name': 'France'}",136,OGC Nice
3232,Karl-Johan Johnsson,,12,"{'id': 220, 'name': 'Sweden'}",790,Sweden
3233,Raheem Sterling,Raheem Sterling,7,"{'id': 68, 'name': 'England'}",36,Manchester City
3235,Ludovic Blas,,10,"{'id': 78, 'name': 'France'}",144,Nantes
3236,Sergi Darder Moll,Sergi Darder,10,"{'id': 214, 'name': 'Spain'}",214,Espanyol
3237,Sergio Leonel Agüero del Castillo,Sergio Agüero,10,"{'id': 11, 'name': 'Argentina'}",36,Manchester City
3240,Mathew Ryan,Mat Ryan,25,"{'id': 14, 'name': 'Australia'}",207,Valencia
3244,John Stones,,5,"{'id': 68, 'name': 'England'}",29,Everton
3245,Thomas Lemar,,11,"{'id': 78, 'name': 'France'}",212,Atlético Madrid
3246,Guido Marcelo Carrillo,Guido Carrillo,9,"{'id': 11, 'name': 'Argentina'}",205,Leganés
3247,Fábio Henrique Tavares,Fabinho,3,"{'id': 31, 'name': 'Brazil'}",24,Liverpool
3248,Hamari Traoré,,27,"{'id': 140, 'name': 'Mali'}",134,Rennes
3250,Edson André Sitoe,Mexer,4,"{'id': 155, 'name': 'Mozambique'}",134,Rennes
3252,Oussama Haddadi,,15,"{'id': 232, 'name': 'Tunisia'}",777,Tunisia
3253,Adil Rami,,3,"{'id': 78, 'name': 'France'}",213,Sevilla
3254,Florian Thauvin,,20,"{'id': 78, 'name': 'France'}",37,Newcastle United
3255,Guessouma Fofana,,6,"{'id': 144, 'name': 'Mauritania'}",4932,Mauritania
3256,Nicolas Pallois,,4,"{'id': 78, 'name': 'France'}",144,Nantes
3257,Steve Michel Mounié,,27,"{'id': 24, 'name': 'Benin'}",139,Montpellier
